Artist,Current_Location,Spotify_Monthly_Listeners,Gender
The Weeknd,"Toronto, Ontario, Canada",104257338,M
K. Forest,"Toronto, Ontario, Canada",413753,M
Future,"Atlanta, Georgia, United States",45904432,M
KayCyy,"Los Angeles, California, United States",509440,M
PLAZA,"Montreal, Québec, Canada",941968,M
Hiddenhillsforever,"Atlanta, Georgia, United States",1895,M
Norman Perry,"New Haven, Connecticut, United States",767738,M
A$AP Rocky,"New York City, New York, United States",23991206,M
TYuS,"Portland, Oregon, United States",162660,M
The Neighbourhood,"Los Angeles, California, United States",32177817,M
Artie J,"Grand Rapids, Michigan, United States",36211,M
Lyfe Harris,"Atlanta, Georgia, United States",8671,M
Playboi Carti,"Atlanta, Georgia, United States",16087381,M
PARTYNEXTDOOR,"Toronto, Ontario, Canada",18024240,M
Black Atlass,"Los Angeles, California, United States",1021513,M
FXXXXY,"Dallas, Texas, United States",41572,M
Travis Scott,"Los Angeles, California, United States",43871786,M
Isaiah Rashad,"Los Angeles, California, United States",3754648,M
Lana Del Rey,"Los Angeles, California, United States",40405290,F
Freddie Gibbs,"Los Angeles, California, United States",3523030,M
Joe Trufant,"Brevard, North Carolina, United States",58950,M
Tilladre,"Toronto, Ontario, Canada",1834,M
LVNDVN,"Jersey City, New Jersey, United States",49413,M
Tone Stith,"Camden, New Jersey, United States",733669,M
Thouxanbanfauni,"Atlanta, Georgia, United States",1670854,M
Che Ecru,"Los Angeles, California, United States",490141,M
Alley,"Nashville, Tennesse, United States",515,M
Pusha T,"Norfolk, Virginia, United States",6773093,M
Era,"Tuscon, Arizona, United States",71031,M
6LACK,"Atlanta, Georgia, United States",15500627,M
Lil Yatchy,"Atlanta, Georgia, United States",12231100,M
Trippie Redd,"Southwest Ranches, Florida, United States",21490985,M
Bryson Tiller,"Louisville, Kentucky, United States",16255894,M
Dreamville,"Raleigh, North Carolina, United States",6770113,M
Don Toliver,"Los Angeles, California, United States",24331953,M
Trouble,"Atlanta, Georgia, United States",330776,M
Drake,"Toronto, Ontario, Canada",68689489,M
Destroy Lonely,"Atlanta, Georgia, United States",3120692,M
Ken Carson,"Atlanta, Georgia, United States",4181731,M
FRVRFRIDAY,"Brampton, Ontario, Canada",734295,M
Robb Bank$,"Fort Lauderdale, Florida, United States",396321,M
SoFaygo,"Los Angeles, California, United States",4263843,M
Yeat,"Los Angeles, California, United States",11645500,M
Frank Ocean,"Los Angeles, California, United States",23578174,M
